75048	9.849248	0.730724	1
11332	0.000000	0.330353	2
69361	11.810715	0.430071	1
71426	13.569992	0.451933	1
2579	0.000000	0.958021	2
43224	2.305275	1.695501	1
12251	2.834060	1.563772	2
65134	9.000171	0.785332	1
56476	4.063053	1.542487	1
4209	0.000000	1.082675	2
38029	10.434378	1.444202	3
0	3.301729	0.084071	2
35614	9.019019	0.896893	3
16119	3.888888	1.266029	2
38967	3.755174	1.411936	1
32905	7.641527	0.584395	3
29283	1.554831	0.364305	1
14468	6.296195	0.707915	2
58392	7.214159	0.704892	1
38012	8.444995	0.814065	3
43758	11.510304	1.332880	3
8616	5.644969	0.621804	2
17513	5.769636	1.471770	2
27096	6.211610	1.300348	3
29154	10.158380	1.562982	3
42471	2.071988	1.172290	1
6190	8.259843	0.635673	2
64365	7.589671	1.222819	1
42910	10.991855	0.888719	3
69242	13.964340	0.337872	1
38639	9.053033	0.444590	3
36123	7.238627	1.395600	3
7503	0.000000	0.170849	2
25913	9.421765	0.629900	3
71340	6.923190	1.082290	1
8752	2.893377	1.417168	2
47159	9.568355	1.537595	3
2272	2.346605	0.098451	2
64530	10.635343	0.841495	1
57562	2.363646	0.546213	1
71288	13.401643	1.681057	1
14918	5.989180	1.088271	2
33646	10.045386	0.010919	3
18742	4.160573	1.055927	2
5198	8.132681	0.937072	2
5110	0.000000	0.038223	2
41296	10.122085	0.299654	3
36569	8.933836	1.144489	3
11193	1.428022	0.365031	2
14292	3.025084	0.745214	2
22033	9.224916	0.398734	3
72393	9.137799	1.197137	1
33880	8.235368	1.332211	3
27874	11.754312	0.216323	3
7791	2.432649	0.313277	2
48752	6.133824	0.754297	3
37607	12.083751	1.116426	3
75065	8.027480	0.475571	1
81510	18.593806	0.047880	1
5906	0.712669	0.407035	2
73913	10.834375	0.398016	1
14810	1.117746	1.331898	2
30523	6.919331	1.033417	3
39684	10.678976	1.212785	3
70614	13.234158	0.696511	1
14691	0.000000	1.190455	2
11976	3.131326	0.629122	2
32792	9.017195	0.096490	3
21670	9.307990	1.049188	3
26885	0.076835	0.687733	1
46050	10.247964	1.327196	3
12365	7.402507	1.078536	3
64954	4.856160	0.239770	1
0	7.753577	0.485149	2
17011	0.000000	1.112443	2
9979	2.017664	1.506887	2
10895	5.917962	0.621950	2
35370	11.862814	0.666155	3
251	0.000000	0.451355	2
6880	2.236830	1.666914	2
76824	10.793112	0.284852	1
